,gemeentenaam,soort_regio,id,codering,aantal_inwoners,woningkenmerken,stadsverwarming
561,AlphenaandenRijn,Buurt,36,BU04847004,597.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
12583,Schouwen-Duiveland,Buurt,90,BU16760007,629.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
2495,DeBilt,Wijk,99,WK031003,1461.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
13804,Tilburg,Buurt,56,BU08553809,1494.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,249.0
11431,Oss,Wijk,72,WK082812,717.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
9643,Maassluis,Buurt,75,BU05560501,3736.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
4651,Eindhoven,Buurt,2,BU07721213,-1010.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
10295,Montfoort,Wijk,89,WK033502,703.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
4927,Enschede,Wijk,6,WK015302,22362.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,83.0
1550,Appingedam,Wijk,94,WK000300,11971.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
9168,Lelystad,Buurt,88,BU09956331,193.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,1000.0
12766,Sliedrecht,Buurt,94,BU06100203,358.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
9380,Littenseradiel,Gemeente,78,GM0140,10746.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
13296,StichtseVecht,Buurt,21,BU19041214,916.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
11422,Oss,Buurt,61,BU08281000,-4280.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
10440,Nieuwkoop,Buurt,47,BU05690203,156.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
9175,Lelystad,Buurt,57,BU09956663,0.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
2081,BergenDal,Buurt,8,BU19450507,-51.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
13629,Tiel,Buurt,2,BU02810005,1570.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
3034,Brummen,Buurt,84,BU02130310,-22.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
16497,Zwijndrecht,Buurt,81,BU06420301,11.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
621,Amersfoort,Buurt,10,BU03070100,727.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
9002,Leidschendam-Voorburg,Wijk,69,WK191606,3132.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
16423,Zutphen,Buurt,46,BU03010500,-3853.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
8581,Landgraaf,Buurt,3,BU08820202,1880.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
2879,Breda,Buurt,93,BU07580001,1993.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
3279,Castricum,Buurt,2,BU03830111,2635.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
16352,Zuidplas,Buurt,63,BU18920399,402.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
1126,Amsterdam,Buurt,77,BU03634701,754.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
11641,PeelenMaas,Buurt,72,BU18940402,139.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
7668,HofvanTwente,Buurt,90,BU17350809,446.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
13572,Texel,Buurt,16,BU04480005,436.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
148,Achtkarspelen,Buurt,29,BU00590000,-5088.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
13087,Steenwijkerland,Buurt,2,BU17080009,-3077.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
8296,Katwijk,Buurt,6,BU05370102,2654.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
12715,Sittard-Geleen,Buurt,77,BU18830109,167.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
15084,Voorst,Buurt,3,BU02850203,-160.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
7055,DenHelder,Buurt,11,BU04000400,637.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
12824,Sluis,Gemeente,45,GM1714,23658.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
3427,Cuijk,Wijk,29,WK168401,1262.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
2220,BergenopZoom,Buurt,87,BU07480205,1296.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
2550,Binnenmaas,Buurt,2,BU05850503,-486.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
5083,Etten-Leur,Buurt,92,BU07772009,-1440.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
13224,StichtseVecht,Buurt,13,BU19040215,2058.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
1564,Arnhem,Buurt,86,BU02020170,987.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
