,gemeentenaam,soort_regio,id,codering,aantal_inwoners,woningkenmerken,stadsverwarming
9503,LoonopZand,Buurt,96,BU08093091,222.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
4063,Dordrecht,Buurt,67,BU05050202,1046.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
2473,hetBildt,Wijk,96,WK006301,-1677.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
11554,Oudewater,Buurt,42,BU05890208,134.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
6943,Heerlen,Buurt,16,BU09173201,340.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
3460,Dalfsen,Buurt,30,BU01480103,1362.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
14962,Vlagtwedde,Buurt,6,BU00480508,132.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
13548,Terschelling,Buurt,3,BU00930111,317.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
13166,Steenwijkerland,Buurt,31,BU17081509,9.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
15499,Westland,Buurt,83,BU17830480,-192.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
3188,CapelleaandenIJssel,Buurt,60,BU05020112,20.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
5053,Etten-Leur,Buurt,23,BU07771003,206.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
7311,Hengelo,Wijk,62,WK016406,10188.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
16603,Zwolle,Buurt,84,BU01932020,-296.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
2876,Boxtel,Buurt,68,BU07570209,149.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
1992,Bedum,Buurt,59,BU00050006,141.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
1418,Amsterdam,Buurt,10,BU03639500,2917.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
591,AlphenaandenRijn,Buurt,38,BU04849603,1787.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
11065,Olst-Wijhe,Buurt,48,BU17730321,-507.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
6862,Heerhugowaard,Wijk,50,WK039812,976.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
12,AaenHunze,Buurt,52,BU16800309,12.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
13762,Tilburg,Buurt,65,BU08553201,1076.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
51,AaenHunze,Buurt,97,BU16801609,8.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
14232,Utrecht,Buurt,23,BU03440223,-3793.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,194.0
9603,Maasgouw,Buurt,74,BU16410001,1225.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
11904,Renswoude,Gemeente,73,GM0339,5101.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
7309,Hengelo,Buurt,37,BU01640505,-937.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
13905,Tilburg,Buurt,31,BU08555901,0.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
1172,Amsterdam,Buurt,52,BU03635402,-2179.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
9454,Lochem,Buurt,68,BU02620309,308.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
3831,Dinkelland,Buurt,56,BU17741650,-68.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
3784,Diemen,Buurt,95,BU03840222,-1985.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
9979,Meppel,Buurt,1,BU01190300,2006.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
14740,Venlo,Wijk,57,WK098328,817.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
5350,Geldrop-Mierlo,Buurt,18,BU17710009,166.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
3432,Cuijk,Buurt,24,BU16840209,-304.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
10596,Nissewaard,Buurt,33,BU19301203,1331.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
663,Amersfoort,Buurt,65,BU03070800,1685.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
6075,Groningen,Buurt,97,BU00141201,-3523.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
16043,Zaanstad,Buurt,85,BU04797210,5724.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,586.0
2332,Bernheze,Wijk,22,WK172104,1215.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
10156,MillenSintHubert,Buurt,87,BU08150209,462.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
4395,Echt-Susteren,Buurt,17,BU17111145,34.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
3840,Dinkelland,Buurt,19,BU17741910,1158.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
4429,Edam-Volendam,Buurt,1,BU03850601,706.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
9068,Lelystad,Buurt,25,BU09952226,1667.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
3645,Delfzijl,Buurt,1,BU00100300,-582.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
11856,Renkum,Buurt,85,BU02740303,1361.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
461,Almere,Buurt,76,BU00340402,2493.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,809.0
15517,Westland,Buurt,33,BU17830609,308.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
536,AlphenaandenRijn,Buurt,1,BU04840805,-1381.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
5664,GooiseMeren,Wijk,77,WK194205,17545.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
7506,Heusden,Buurt,91,BU07970600,-74.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
11997,Ridderkerk,Wijk,23,WK059701,-4333.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
14602,Velsen,Wijk,53,WK045302,8404.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
5557,Goes,Buurt,16,BU06640559,58.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
3424,Cuijk,Buurt,8,BU16840004,-6262.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
1915,Barendrecht,Buurt,78,BU04895073,5.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
1586,Arnhem,Buurt,7,BU02020630,1587.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
12466,Schagen,Wijk,18,WK044102,1942.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
5095,Ferwerderadiel,Wijk,15,WK172200,4200.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
13197,StichtseVecht,Buurt,65,BU19040108,832.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
14325,Utrecht,Buurt,32,BU03441012,532.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
14732,Venlo,Buurt,12,BU09832502,1302.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
8460,Krimpenerwaard,Buurt,65,BU19310107,55.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
11848,Renkum,Buurt,29,BU02740203,100.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
4374,Echt-Susteren,Buurt,59,BU17110630,833.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
15765,Winsum,Gemeente,22,GM0053,13596.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
6404,Haarlemmermeer,Buurt,74,BU03940552,2931.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
5252,DeFryskeMarren,Wijk,79,WK194035,266.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
5211,DeFryskeMarren,Buurt,44,BU19401908,80.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
12720,Sittard-Geleen,Buurt,68,BU18830203,1954.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
8214,KaagenBraassem,Buurt,24,BU18840101,621.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
7395,'s-Hertogenbosch,Buurt,94,BU07960701,-5.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
11184,OostGelre,Buurt,74,BU15860602,377.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
14160,Uden,Buurt,48,BU08560197,270.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
14282,Utrecht,Buurt,42,BU03440621,1339.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,213.0
14045,Tynaarlo,Wijk,82,WK173002,320.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
5482,Goeree-Overflakkee,Buurt,34,BU19240304,-1930.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
13164,Steenwijkerland,Wijk,55,WK170815,130.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
3444,Cuijk,Buurt,56,BU16840600,230.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
7838,Hoogezand-Sappemeer,Buurt,40,BU00180901,26.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
7927,Hoorn,Buurt,26,BU04053401,4.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
16435,Zwartewaterland,Buurt,21,BU18960011,1342.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
1103,Amsterdam,Buurt,76,BU03634201,-3599.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
14743,Venlo,Buurt,89,BU09832803,18.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
5653,GooiseMeren,Buurt,47,BU19420305,546.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
12067,Rijssen-Holten,Buurt,31,BU17420309,403.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
5225,DeFryskeMarren,Buurt,19,BU19402305,3339.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
2445,Beverwijk,Buurt,71,BU03750601,1606.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
15031,Voerendaal,Buurt,20,BU09860301,1412.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
13622,Tiel,Gemeente,58,GM0281,-41488.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
4003,Dongeradeel,Buurt,86,BU00580208,228.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
10186,Moerdijk,Buurt,11,BU17090409,106.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
4700,Eindhoven,Buurt,30,BU07721434,-2752.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
4834,Emmen,Buurt,70,BU01140802,310.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
16535,Zwijndrecht,Buurt,94,BU06420514,-581.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
10941,Oldambt,Buurt,89,BU18950009,253.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
14660,Venlo,Gemeente,76,GM0983,101059.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
2576,Blaricum,Gemeente,45,GM0376,10201.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,76.0
8210,KaagenBraassem,Buurt,54,BU18840002,-3688.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
5501,Goeree-Overflakkee,Buurt,86,BU19240701,1876.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
11060,Olst-Wijhe,Buurt,7,BU17730217,-1603.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
142,Aalten,Buurt,49,BU01970402,2418.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
14113,Tytsjerksteradiel,Wijk,54,WK073703,772.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
4109,Dordrecht,Buurt,90,BU05050701,1429.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
11220,Oosterhout,Buurt,87,BU08260502,1915.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
9274,Leusden,Buurt,83,BU03270106,-1509.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
11113,Ommen,Buurt,22,BU01750125,35.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
16279,Zoeterwoude,Wijk,48,WK063809,77.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
1956,Barneveld,Buurt,10,BU02035539,1459.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
11874,Renkum,Wijk,38,WK027407,542.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
11663,Pijnacker-Nootdorp,Buurt,98,BU19260102,3829.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
7165,Hellevoetsluis,Wijk,66,WK053002,1256.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,58.0
13916,Tilburg,Buurt,40,BU08556006,0.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
5426,Giessenlanden,Wijk,79,WK068905,-1435.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
1752,Assen,Buurt,30,BU01060804,1249.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
10870,Oirschot,Wijk,74,WK082300,10870.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
6631,Harderwijk,Wijk,23,WK024312,9404.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
11595,Overbetuwe,Buurt,55,BU17340210,275.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
13987,Tubbergen,Buurt,9,BU01830500,773.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
7057,DenHelder,Buurt,19,BU04000402,-1240.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
978,Amsterdam,Buurt,35,BU03631502,70.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,71.0
14643,Velsen,Buurt,2,BU04530700,936.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
15962,Woudrichem,Buurt,48,BU08740002,401.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
14014,Twenterand,Buurt,46,BU17000109,117.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
3358,Coevorden,Buurt,59,BU01094048,267.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
2128,Bergeijk,Wijk,40,WK172404,2107.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
15167,Waddinxveen,Buurt,26,BU06270304,565.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
154,Achtkarspelen,Buurt,52,BU00590006,-77.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
6755,Heemskerk,Wijk,58,WK039609,4646.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
664,Amersfoort,Buurt,77,BU03070801,1752.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
3284,Castricum,Wijk,99,WK038303,700.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
1514,Apeldoorn,Wijk,98,WK020011,343.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
766,Amersfoort,Buurt,49,BU03072600,1505.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
8843,Leeuwarden,Buurt,9,BU00806006,0.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
12309,Roosendaal,Buurt,63,BU16741400,600.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
14502,Veenendaal,Buurt,50,BU03450404,-119.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
8588,Landsmeer,Gemeente,4,GM0415,11275.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
1298,Amsterdam,Wijk,58,WK036377,17370.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,146.0
11319,Opsterland,Wijk,61,WK008601,3331.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
275,Alkmaar,Buurt,80,BU03610401,3491.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
13611,Tholen,Buurt,33,BU07160409,-215.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
1847,Barendrecht,Buurt,94,BU04890205,646.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
2948,Brielle,Buurt,18,BU05010001,1053.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
4228,Drimmelen,Buurt,31,BU17190401,123.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
12682,Sint-Michielsgestel,Buurt,37,BU08450003,-72.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
8808,Leeuwarden,Buurt,78,BU00804402,1393.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
11353,Oss,Buurt,78,BU08280000,3236.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
8540,Landerd,Wijk,38,WK168500,-6987.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
1957,Barneveld,Buurt,39,BU02035540,632.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
9298,Lingewaal,Buurt,36,BU07330101,1500.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
503,AlphenaandenRijn,Buurt,58,BU04840302,2266.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
11616,PeelenMaas,Buurt,62,BU18940001,1272.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
14604,Velsen,Buurt,75,BU04530201,586.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
3991,Dongeradeel,Buurt,46,BU00580101,44.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
2778,Borsele,Buurt,39,BU06540401,320.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
12277,Roosendaal,Buurt,42,BU16740601,3270.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
8865,Leeuwarden,Buurt,94,BU00807003,37.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
14873,Vlaardingen,Gemeente,9,GM0622,71999.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
10542,Nijmegen,Buurt,13,BU02680960,463.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
12117,Rijswijk,Buurt,36,BU06030854,3177.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
3965,Dongen,Buurt,9,BU07660109,3349.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
10316,Neder-Betuwe,Wijk,23,WK174001,7038.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
7145,Hellendoorn,Wijk,43,WK016308,584.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
4897,Enkhuizen,Gemeente,15,GM0388,18479.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
16509,Zwijndrecht,Buurt,92,BU06420313,-817.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
5439,Giessenlanden,Buurt,91,BU06890702,99.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
11711,Purmerend,Wijk,79,WK043905,-14401.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,990.0
2365,Best,Buurt,29,BU07530017,-1469.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
12909,Soest,Gemeente,51,GM0342,45874.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
5991,Groningen,Wijk,27,WK001402,14827.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
5682,Gorinchem,Gemeente,85,GM0512,35755.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
7488,Heusden,Gemeente,12,GM0797,43517.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
16393,Zutphen,Buurt,71,BU03010001,1677.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
577,AlphenaandenRijn,Wijk,32,WK048491,5819.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
1358,Amsterdam,Buurt,59,BU03638803,263.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
4741,Eindhoven,Buurt,8,BU07721631,31.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
9129,Lelystad,Buurt,4,BU09954225,-1545.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,1000.0
2261,Berkelland,Buurt,12,BU18590103,-95.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
16661,Zwolle,Buurt,95,BU01935150,3167.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
10862,Oegstgeest,Buurt,74,BU05790013,2600.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
7585,Hilversum,Wijk,88,WK040205,9790.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
8332,Katwijk,Buurt,42,BU05370809,1639.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
7933,Hoorn,Buurt,5,BU04053504,-704.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
12756,Sliedrecht,Buurt,79,BU06100103,1725.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
16330,Zuidplas,Buurt,70,BU18920205,1084.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
16112,Zederik,Buurt,32,BU07070102,352.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
9787,Medemblik,Wijk,85,WK042009,-2277.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
3374,Coevorden,Buurt,59,BU01095063,-169.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
12873,Sluis,Buurt,44,BU17141400,-258.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
15545,Weststellingwerf,Wijk,13,WK009800,12829.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
629,Amersfoort,Buurt,80,BU03070108,420.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
8761,Leeuwarden,Buurt,89,BU00802301,407.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
18,AaenHunze,Buurt,96,BU16800509,47.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
11061,Olst-Wijhe,Buurt,27,BU17730218,1774.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,72.0
6952,Heerlen,Buurt,79,BU09173400,2538.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,115.0
919,Amsterdam,Buurt,95,BU03630702,965.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
14382,Vaals,Buurt,92,BU09810008,129.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
5838,'s-Gravenhage,Wijk,54,WK051809,13906.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
4951,Enschede,Buurt,79,BU01530502,3398.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
4084,Dordrecht,Buurt,48,BU05050406,57.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
2525,Binnenmaas,Buurt,69,BU05850201,-110.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
2973,Bronckhorst,Buurt,25,BU18760007,340.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
8789,Leeuwarden,Buurt,28,BU00803603,2719.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
424,Almere,Buurt,40,BU00340206,7528.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,1000.0
13100,Steenwijkerland,Buurt,46,BU17080022,106.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
16059,Zaltbommel,Buurt,86,BU02970009,109.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
14621,Velsen,Buurt,27,BU04530405,1631.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
2760,Borne,Buurt,17,BU01470009,485.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
11310,Opmeer,Buurt,98,BU04320101,492.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
1845,Barendrecht,Wijk,2,WK048902,2625.0,T001100ZW25810ZW25805ZW25806ZW10300ZW1032010148001014850,0.0
