,id_old,gemeentenaam,codering,indelingswijziging_wijken_en_buurten,aantal_installaties_bij_woningen,aantal_zonnepanelen_per_installatie,opgesteld_vermogen_van_zonnepanelen,totaal_aantal_laadpalen,werkloosheidsuitkering_relatief,bijstandsuitkering_relatief,arbeidsongeschiktheidsuitkering_relatief,aow_uitkering_relatief,inwoners_vanaf_15_jaar,inwoners_vanaf_15_jr_tot_aow_leeftijd,inwoners_vanaf_de_aow_leeftijd
9503,1004,LoonopZand,BU08093091,1.0,10.0,26.0,60.0,0.0,90.0,20.0,155.0,930.0,800.0,630.0,200.0
4063,1006,Dordrecht,BU05050202,1.0,,,,0.0,90.0,485.0,455.0,520.0,3380.0,2950.0,440.0
2473,1000,hetBildt,WK006301,1.0,70.0,18.0,278.0,2.0,125.0,80.0,185.0,710.0,5570.0,4560.0,1000.0
11554,1008,Oudewater,BU05890208,1.0,6.0,11.0,14.0,1.0,10.0,0.0,40.0,375.0,440.0,400.0,40.0
6943,1008,Heerlen,BU09173201,1.0,,,,0.0,55.0,445.0,445.0,1690.0,1280.0,740.0,540.0
3460,1003,Dalfsen,BU01480103,3.0,57.0,16.0,204.0,0.0,75.0,90.0,140.0,1485.0,4570.0,2860.0,1720.0
14962,1005,Vlagtwedde,BU00480508,1.0,9.0,55.0,113.0,,130.0,0.0,240.0,635.0,400.0,320.0,70.0
13548,1001,Terschelling,BU00930111,1.0,18.0,21.0,81.0,1.0,15.0,0.0,60.0,1085.0,1130.0,810.0,320.0
13166,1005,Steenwijkerland,BU17081509,1.0,,,,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0
15499,1007,Westland,BU17830480,1.0,8.0,24.0,44.0,,40.0,0.0,50.0,380.0,1210.0,1090.0,120.0
3188,1002,CapelleaandenIJssel,BU05020112,1.0,,,,1.0,0.0,0.0,0.0,0.0,80.0,40.0,0.0
5053,1006,Etten-Leur,BU07771003,1.0,,,,0.0,15.0,130.0,1720.0,1305.0,790.0,540.0,250.0
7311,1002,Hengelo,WK016406,1.0,178.0,,,11.0,115.0,140.0,260.0,895.0,35010.0,27210.0,7810.0
16603,1003,Zwolle,BU01932020,1.0,19.0,15.0,68.0,1.0,40.0,0.0,125.0,1060.0,1030.0,760.0,280.0
2876,1005,Boxtel,BU07570209,1.0,,,,0.0,55.0,0.0,60.0,465.0,480.0,440.0,50.0
1992,1003,Bedum,BU00050006,1.0,18.0,15.0,62.0,0.0,75.0,40.0,115.0,1180.0,480.0,330.0,150.0
1418,1005,Amsterdam,BU03639500,1.0,,,,0.0,120.0,100.0,155.0,940.0,10030.0,7660.0,2380.0
591,1004,AlphenaandenRijn,BU04849603,1.0,88.0,,,1.0,80.0,55.0,120.0,1270.0,6180.0,4220.0,1960.0
11065,1003,Olst-Wijhe,BU17730321,1.0,37.0,22.0,185.0,2.0,65.0,0.0,120.0,960.0,1780.0,1360.0,440.0
6862,1006,Heerhugowaard,WK039812,1.0,15.0,,,3.0,35.0,85.0,205.0,730.0,3450.0,2810.0,650.0
12,1006,AaenHunze,BU16800309,1.0,,,,0.0,0.0,0.0,0.0,0.0,40.0,40.0,0.0
13762,1007,Tilburg,BU08553201,3.0,22.0,,,,115.0,120.0,230.0,880.0,3680.0,2870.0,810.0
51,1003,AaenHunze,BU16801609,1.0,,,,0.0,0.0,0.0,0.0,0.0,40.0,40.0,0.0
14232,1002,Utrecht,BU03440223,1.0,13.0,,,0.0,65.0,100.0,160.0,410.0,13490.0,12110.0,1390.0
9603,1006,Maasgouw,BU16410001,1.0,80.0,16.0,297.0,3.0,60.0,60.0,175.0,895.0,4080.0,3160.0,920.0
11904,1009,Renswoude,GM0339,,125.0,,,6.0,60.0,40.0,100.0,720.0,16160.0,13240.0,2920.0
7309,1005,Hengelo,BU01640505,1.0,17.0,19.0,74.0,0.0,135.0,270.0,395.0,775.0,3140.0,2530.0,610.0
13905,1004,Tilburg,BU08555901,3.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1172,1007,Amsterdam,BU03635402,1.0,9.0,10.0,21.0,,85.0,115.0,120.0,530.0,7880.0,6820.0,1060.0
9454,1009,Lochem,BU02620309,1.0,13.0,18.0,55.0,0.0,80.0,0.0,155.0,920.0,1080.0,840.0,240.0
3831,1009,Dinkelland,BU17741650,1.0,3.0,36.0,24.0,0.0,140.0,0.0,0.0,515.0,240.0,200.0,40.0
3784,1007,Diemen,BU03840222,1.0,63.0,12.0,159.0,1.0,75.0,5.0,125.0,615.0,6810.0,5750.0,1060.0
9979,1006,Meppel,BU01190300,1.0,57.0,,,2.0,115.0,105.0,240.0,1155.0,6670.0,4730.0,1920.0
14740,1001,Venlo,WK098328,1.0,31.0,18.0,118.0,11.0,135.0,170.0,220.0,660.0,2900.0,2420.0,480.0
5350,1004,Geldrop-Mierlo,BU17710009,1.0,6.0,20.0,28.0,0.0,50.0,130.0,115.0,315.0,560.0,520.0,40.0
3432,1009,Cuijk,BU16840209,1.0,22.0,20.0,101.0,1.0,95.0,60.0,225.0,595.0,1060.0,900.0,160.0
10596,1004,Nissewaard,BU19301203,1.0,21.0,10.0,49.0,0.0,125.0,275.0,270.0,605.0,4260.0,3610.0,650.0
663,1009,Amersfoort,BU03070800,1.0,88.0,12.0,232.0,1.0,105.0,75.0,150.0,1470.0,5910.0,3720.0,2200.0
6075,1000,Groningen,BU00141201,1.0,98.0,10.0,237.0,1.0,115.0,375.0,295.0,610.0,11030.0,9340.0,1700.0
16043,1007,Zaanstad,BU04797210,1.0,224.0,12.0,604.0,3.0,80.0,40.0,175.0,425.0,17730.0,15840.0,1890.0
2332,1006,Bernheze,WK172104,3.0,38.0,30.0,256.0,1.0,70.0,0.0,115.0,735.0,4100.0,3350.0,760.0
10156,1006,MillenSintHubert,BU08150209,1.0,14.0,23.0,71.0,0.0,95.0,0.0,125.0,830.0,1640.0,1290.0,340.0
4395,1005,Echt-Susteren,BU17111145,1.0,,,,0.0,0.0,0.0,0.0,0.0,120.0,80.0,40.0
3840,1009,Dinkelland,BU17741910,1.0,57.0,16.0,215.0,2.0,80.0,60.0,155.0,840.0,3850.0,3050.0,810.0
4429,1008,Edam-Volendam,BU03850601,1.0,25.0,23.0,128.0,1.0,50.0,40.0,195.0,910.0,2380.0,1840.0,560.0
9068,1008,Lelystad,BU09952226,1.0,53.0,13.0,158.0,0.0,130.0,140.0,280.0,830.0,5480.0,4330.0,1150.0
3645,1003,Delfzijl,BU00100300,1.0,53.0,16.0,193.0,1.0,80.0,105.0,215.0,825.0,1970.0,1560.0,410.0
11856,1002,Renkum,BU02740303,3.0,23.0,11.0,59.0,0.0,85.0,210.0,260.0,1070.0,4600.0,3370.0,1240.0
461,1009,Almere,BU00340402,1.0,379.0,5.0,530.0,4.0,125.0,105.0,190.0,250.0,7580.0,7110.0,480.0
15517,1007,Westland,BU17830609,1.0,5.0,26.0,30.0,0.0,15.0,0.0,100.0,900.0,990.0,760.0,230.0
536,1009,AlphenaandenRijn,BU04840805,1.0,60.0,12.0,172.0,2.0,100.0,20.0,80.0,325.0,4260.0,3920.0,340.0
5664,1004,GooiseMeren,WK194205,1.0,230.0,12.0,669.0,4.0,80.0,60.0,120.0,1070.0,56130.0,41090.0,15060.0
7506,1005,Heusden,BU07970600,1.0,,,,0.0,0.0,0.0,0.0,1125.0,240.0,180.0,80.0
11997,1007,Ridderkerk,WK059701,1.0,23.0,,,1.0,100.0,225.0,180.0,720.0,15140.0,12390.0,2750.0
14602,1001,Velsen,WK045302,1.0,101.0,8.0,205.0,0.0,80.0,155.0,260.0,800.0,28220.0,22540.0,5680.0
5557,1000,Goes,BU06640559,1.0,,,,0.0,0.0,0.0,295.0,1060.0,190.0,150.0,40.0
3424,1008,Cuijk,BU16840004,1.0,176.0,14.0,535.0,0.0,110.0,90.0,210.0,435.0,20300.0,18090.0,2210.0
1915,1002,Barendrecht,BU04895073,1.0,,,,,0.0,0.0,0.0,0.0,10.0,0.0,0.0
1586,1005,Arnhem,BU02020630,1.0,18.0,10.0,39.0,0.0,95.0,350.0,260.0,220.0,5660.0,5360.0,320.0
12466,1001,Schagen,WK044102,1.0,95.0,16.0,327.0,,65.0,40.0,200.0,1005.0,6620.0,4970.0,1660.0
5095,1004,Ferwerderadiel,WK172200,1.0,138.0,16.0,528.0,6.0,80.0,130.0,180.0,1025.0,13710.0,10200.0,3510.0
13197,1003,StichtseVecht,BU19040108,1.0,30.0,18.0,127.0,1.0,65.0,0.0,65.0,1085.0,2700.0,1970.0,730.0
14325,1003,Utrecht,BU03441012,1.0,15.0,,,0.0,100.0,25.0,125.0,1090.0,1800.0,1320.0,480.0
14732,1006,Venlo,BU09832502,1.0,84.0,14.0,244.0,2.0,105.0,40.0,190.0,575.0,4480.0,3830.0,640.0
8460,1005,Krimpenerwaard,BU19310107,1.0,,,,,0.0,0.0,0.0,935.0,170.0,120.0,40.0
11848,1006,Renkum,BU02740203,3.0,4.0,16.0,14.0,0.0,100.0,315.0,290.0,1595.0,330.0,180.0,120.0
4374,1003,Echt-Susteren,BU17110630,1.0,48.0,19.0,205.0,2.0,45.0,0.0,265.0,990.0,3000.0,2240.0,770.0
15765,1006,Winsum,GM0053,,1513.0,13.0,4641.0,26.0,80.0,100.0,180.0,1000.0,44970.0,33700.0,11270.0
6404,1005,Haarlemmermeer,BU03940552,1.0,77.0,12.0,207.0,1.0,60.0,80.0,160.0,1130.0,10340.0,7390.0,2950.0
5252,1000,DeFryskeMarren,WK194035,1.0,8.0,17.0,28.0,,105.0,125.0,310.0,545.0,920.0,800.0,120.0
5211,1004,DeFryskeMarren,BU19401908,1.0,,,,0.0,80.0,80.0,60.0,785.0,310.0,240.0,60.0
12720,1009,Sittard-Geleen,BU18830203,1.0,43.0,12.0,116.0,,75.0,285.0,430.0,1035.0,6940.0,5140.0,1800.0
8214,1006,KaagenBraassem,BU18840101,1.0,19.0,15.0,65.0,0.0,80.0,50.0,95.0,720.0,2110.0,1720.0,390.0
7395,1005,'s-Hertogenbosch,BU07960701,1.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11184,1005,OostGelre,BU15860602,1.0,13.0,15.0,47.0,0.0,45.0,65.0,275.0,995.0,1360.0,1030.0,350.0
14160,1006,Uden,BU08560197,1.0,13.0,23.0,66.0,1.0,40.0,0.0,140.0,575.0,910.0,770.0,120.0
14282,1009,Utrecht,BU03440621,1.0,4.0,,,0.0,70.0,120.0,215.0,610.0,5050.0,4270.0,790.0
14045,1000,Tynaarlo,WK173002,1.0,25.0,22.0,125.0,,140.0,5.0,140.0,750.0,1040.0,860.0,200.0
5482,1003,Goeree-Overflakkee,BU19240304,1.0,,,,1.0,50.0,95.0,175.0,1325.0,6540.0,4380.0,2180.0
13164,1000,Steenwijkerland,WK170815,1.0,,,,0.0,50.0,0.0,210.0,1405.0,480.0,320.0,160.0
3444,1006,Cuijk,BU16840600,1.0,,,,0.0,70.0,0.0,50.0,1050.0,800.0,590.0,200.0
7838,1001,Hoogezand-Sappemeer,BU00180901,1.0,,,,0.0,0.0,0.0,0.0,0.0,120.0,80.0,40.0
7927,1006,Hoorn,BU04053401,1.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16435,1000,Zwartewaterland,BU18960011,1.0,31.0,15.0,105.0,1.0,55.0,40.0,150.0,560.0,4100.0,3540.0,580.0
1103,1007,Amsterdam,BU03634201,1.0,5.0,5.0,6.0,0.0,105.0,430.0,235.0,400.0,11990.0,10800.0,1200.0
14743,1004,Venlo,BU09832803,1.0,,,,1.0,0.0,0.0,0.0,0.0,80.0,40.0,40.0
5653,1006,GooiseMeren,BU19420305,1.0,10.0,,,0.0,125.0,0.0,85.0,895.0,1750.0,1350.0,400.0
12067,1001,Rijssen-Holten,BU17420309,1.0,11.0,17.0,42.0,0.0,90.0,0.0,75.0,210.0,1080.0,1040.0,60.0
5225,1003,DeFryskeMarren,BU19402305,1.0,197.0,15.0,699.0,10.0,105.0,40.0,80.0,680.0,10670.0,8840.0,1830.0
2445,1005,Beverwijk,BU03750601,3.0,32.0,,,0.0,70.0,120.0,345.0,935.0,5380.0,4120.0,1260.0
15031,1008,Voerendaal,BU09860301,1.0,74.0,17.0,292.0,0.0,80.0,45.0,220.0,1245.0,4730.0,3260.0,1470.0
13622,1009,Tiel,GM0281,,1116.0,13.0,3314.0,35.0,100.0,160.0,220.0,785.0,138380.0,111230.0,27150.0
4003,1000,Dongeradeel,BU00580208,1.0,,,,0.0,55.0,20.0,95.0,780.0,780.0,640.0,160.0
10186,1008,Moerdijk,BU17090409,1.0,,,,0.0,45.0,50.0,140.0,455.0,330.0,290.0,40.0
4700,1009,Eindhoven,BU07721434,1.0,97.0,10.0,205.0,1.0,80.0,115.0,235.0,1080.0,9770.0,7120.0,2650.0
4834,1004,Emmen,BU01140802,1.0,10.0,16.0,36.0,0.0,90.0,75.0,260.0,1010.0,1030.0,760.0,270.0
16535,1001,Zwijndrecht,BU06420514,1.0,24.0,13.0,73.0,0.0,85.0,60.0,180.0,710.0,1920.0,1590.0,360.0
10941,1009,Oldambt,BU18950009,1.0,9.0,20.0,39.0,0.0,130.0,20.0,235.0,565.0,870.0,750.0,120.0
14660,1008,Venlo,GM0983,,3902.0,,,,105.0,160.0,220.0,925.0,345070.0,264650.0,80420.0
2576,1003,Blaricum,GM0376,,200.0,14.0,649.0,3.0,65.0,60.0,115.0,1185.0,34930.0,24570.0,10360.0
8210,1003,KaagenBraassem,BU18840002,1.0,122.0,11.0,323.0,1.0,60.0,80.0,120.0,1080.0,12120.0,8840.0,3290.0
5501,1006,Goeree-Overflakkee,BU19240701,1.0,47.0,14.0,141.0,1.0,50.0,75.0,255.0,815.0,6390.0,5080.0,1310.0
11060,1002,Olst-Wijhe,BU17730217,1.0,134.0,14.0,396.0,4.0,90.0,90.0,240.0,715.0,5270.0,4330.0,940.0
142,1008,Aalten,BU01970402,1.0,108.0,15.0,372.0,1.0,75.0,90.0,200.0,765.0,7930.0,6390.0,1550.0
14113,1006,Tytsjerksteradiel,WK073703,1.0,44.0,,,2.0,120.0,50.0,135.0,785.0,2590.0,2070.0,500.0
4109,1001,Dordrecht,BU05050701,1.0,9.0,13.0,25.0,,115.0,550.0,400.0,685.0,4470.0,3700.0,760.0
11220,1009,Oosterhout,BU08260502,1.0,35.0,,,0.0,100.0,170.0,220.0,840.0,6400.0,5050.0,1360.0
9274,1002,Leusden,BU03270106,1.0,33.0,12.0,79.0,1.0,85.0,40.0,175.0,990.0,4930.0,3710.0,1230.0
11113,1008,Ommen,BU01750125,1.0,9.0,17.0,33.0,0.0,90.0,0.0,0.0,125.0,280.0,280.0,0.0
16279,1001,Zoeterwoude,WK063809,3.0,3.0,34.0,23.0,0.0,0.0,0.0,165.0,1440.0,280.0,190.0,120.0
1956,1002,Barneveld,BU02035539,1.0,38.0,14.0,117.0,,95.0,70.0,120.0,385.0,4670.0,4230.0,450.0
11874,1000,Renkum,WK027407,3.0,22.0,,,1.0,30.0,0.0,95.0,1625.0,1960.0,1170.0,800.0
11663,1005,Pijnacker-Nootdorp,BU19260102,3.0,89.0,10.0,194.0,0.0,65.0,160.0,155.0,1230.0,12830.0,8870.0,3940.0
7165,1009,Hellevoetsluis,WK053002,1.0,36.0,18.0,149.0,2.0,55.0,40.0,170.0,1120.0,4330.0,3120.0,1210.0
13916,1006,Tilburg,BU08556006,3.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5426,1007,Giessenlanden,WK068905,1.0,48.0,18.0,203.0,1.0,35.0,40.0,140.0,870.0,4790.0,3740.0,1050.0
1752,1002,Assen,BU01060804,1.0,37.0,13.0,115.0,1.0,95.0,140.0,255.0,745.0,3770.0,3070.0,700.0
10870,1003,Oirschot,WK082300,1.0,311.0,16.0,1159.0,10.0,80.0,40.0,140.0,1000.0,37080.0,27810.0,9280.0
6631,1004,Harderwijk,WK024312,1.0,333.0,10.0,731.0,7.0,85.0,40.0,180.0,555.0,28600.0,24620.0,3980.0
11595,1000,Overbetuwe,BU17340210,1.0,9.0,,,,55.0,20.0,170.0,680.0,930.0,770.0,160.0
13987,1004,Tubbergen,BU01830500,1.0,20.0,,,0.0,80.0,30.0,130.0,825.0,2490.0,1980.0,510.0
7057,1005,DenHelder,BU04000402,1.0,58.0,9.0,123.0,,85.0,330.0,325.0,905.0,4170.0,3230.0,950.0
978,1002,Amsterdam,BU03631502,1.0,6.0,9.0,12.0,,0.0,0.0,75.0,355.0,240.0,200.0,40.0
14643,1007,Velsen,BU04530700,1.0,26.0,14.0,83.0,1.0,55.0,20.0,90.0,1260.0,3140.0,2150.0,1000.0
15962,1003,Woudrichem,BU08740002,1.0,,,,,45.0,10.0,80.0,635.0,1380.0,1160.0,230.0
14014,1007,Twenterand,BU17000109,1.0,,,,0.0,55.0,0.0,0.0,1165.0,350.0,250.0,110.0
3358,1000,Coevorden,BU01094048,1.0,13.0,,,1.0,85.0,70.0,265.0,965.0,910.0,700.0,220.0
2128,1006,Bergeijk,WK172404,1.0,85.0,22.0,429.0,1.0,55.0,30.0,160.0,805.0,7040.0,5620.0,1430.0
15167,1007,Waddinxveen,BU06270304,1.0,30.0,,,1.0,135.0,0.0,145.0,1040.0,2000.0,1470.0,530.0
154,1009,Achtkarspelen,BU00590006,1.0,4.0,18.0,15.0,0.0,140.0,0.0,200.0,805.0,240.0,200.0,40.0
6755,1009,Heemskerk,WK039609,1.0,238.0,,,3.0,65.0,20.0,160.0,770.0,15800.0,12770.0,3030.0
664,1005,Amersfoort,BU03070801,1.0,13.0,10.0,31.0,,125.0,345.0,330.0,760.0,5850.0,4720.0,1120.0
3284,1009,Castricum,WK038303,1.0,27.0,12.0,70.0,0.0,60.0,20.0,45.0,775.0,2440.0,1960.0,470.0
1514,1003,Apeldoorn,WK020011,1.0,10.0,28.0,62.0,0.0,50.0,20.0,80.0,1310.0,1310.0,880.0,440.0
766,1008,Amersfoort,BU03072600,1.0,60.0,14.0,197.0,1.0,70.0,45.0,140.0,970.0,5070.0,3840.0,1240.0
8843,1004,Leeuwarden,BU00806006,3.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12309,1000,Roosendaal,BU16741400,1.0,38.0,12.0,99.0,1.0,120.0,50.0,180.0,965.0,2180.0,1660.0,520.0
14502,1001,Veenendaal,BU03450404,1.0,7.0,43.0,69.0,3.0,20.0,0.0,165.0,755.0,390.0,320.0,80.0
8588,1005,Landsmeer,GM0415,,333.0,,,8.0,70.0,60.0,150.0,930.0,37880.0,29040.0,8800.0
1298,1001,Amsterdam,WK036377,1.0,121.0,9.0,242.0,4.0,80.0,405.0,295.0,525.0,57500.0,49860.0,7620.0
11319,1001,Opsterland,WK008601,1.0,144.0,17.0,533.0,7.0,115.0,70.0,145.0,685.0,10950.0,9070.0,1880.0
275,1001,Alkmaar,BU03610401,1.0,76.0,,,0.0,85.0,140.0,265.0,800.0,12280.0,9820.0,2480.0
13611,1000,Tholen,BU07160409,1.0,,,,0.0,85.0,5.0,245.0,785.0,650.0,520.0,120.0
1847,1009,Barendrecht,BU04890205,1.0,,,,0.0,65.0,250.0,115.0,1040.0,2050.0,1520.0,540.0
2948,1006,Brielle,BU05010001,1.0,29.0,10.0,70.0,1.0,75.0,20.0,185.0,2175.0,3930.0,1800.0,2150.0
4228,1009,Drimmelen,BU17190401,1.0,6.0,13.0,18.0,0.0,10.0,0.0,100.0,750.0,440.0,360.0,80.0
12682,1005,Sint-Michielsgestel,BU08450003,1.0,,,,,60.0,0.0,280.0,1235.0,240.0,160.0,80.0
8808,1007,Leeuwarden,BU00804402,1.0,17.0,11.0,39.0,0.0,135.0,100.0,135.0,590.0,4620.0,3940.0,680.0
11353,1000,Oss,BU08280000,1.0,36.0,13.0,109.0,0.0,90.0,180.0,300.0,1270.0,11550.0,7870.0,3670.0
8540,1003,Landerd,WK168500,1.0,209.0,19.0,898.0,7.0,65.0,40.0,200.0,995.0,23630.0,17760.0,5870.0
1957,1001,Barneveld,BU02035540,1.0,15.0,11.0,36.0,0.0,65.0,20.0,245.0,960.0,2020.0,1530.0,480.0
9298,1006,Lingewaal,BU07330101,1.0,96.0,14.0,306.0,3.0,70.0,40.0,185.0,1005.0,5060.0,3790.0,1280.0
503,1006,AlphenaandenRijn,BU04840302,1.0,48.0,,,0.0,100.0,40.0,160.0,725.0,7450.0,6100.0,1350.0
11616,1000,PeelenMaas,BU18940001,1.0,52.0,18.0,203.0,1.0,100.0,20.0,515.0,865.0,4430.0,3470.0,960.0
14604,1007,Velsen,BU04530201,1.0,18.0,8.0,33.0,0.0,90.0,0.0,100.0,760.0,2040.0,1660.0,390.0
3991,1007,Dongeradeel,BU00580101,1.0,4.0,11.0,10.0,,0.0,0.0,0.0,0.0,160.0,130.0,30.0
2778,1002,Borsele,BU06540401,1.0,31.0,11.0,74.0,1.0,105.0,170.0,275.0,985.0,1090.0,840.0,280.0
12277,1005,Roosendaal,BU16740601,1.0,71.0,14.0,214.0,0.0,95.0,100.0,140.0,1075.0,11110.0,8110.0,3010.0
8865,1005,Leeuwarden,BU00807003,1.0,2.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,120.0,110.0,40.0
14873,1000,Vlaardingen,GM0622,,1095.0,10.0,2354.0,,95.0,180.0,180.0,960.0,241900.0,183890.0,58010.0
10542,1006,Nijmegen,BU02680960,1.0,64.0,8.0,119.0,2.0,75.0,160.0,145.0,130.0,2960.0,2880.0,80.0
12117,1004,Rijswijk,BU06030854,2.0,22.0,9.0,48.0,1.0,90.0,265.0,260.0,1180.0,10800.0,7600.0,3200.0
3965,1007,Dongen,BU07660109,1.0,84.0,18.0,321.0,1.0,85.0,65.0,180.0,1000.0,11410.0,8550.0,2860.0
10316,1008,Neder-Betuwe,WK174001,1.0,173.0,16.0,573.0,4.0,60.0,60.0,160.0,870.0,22490.0,17600.0,4900.0
7145,1004,Hellendoorn,WK016308,1.0,18.0,18.0,73.0,1.0,75.0,45.0,145.0,600.0,1780.0,1520.0,280.0
4897,1005,Enkhuizen,GM0388,,487.0,11.0,1259.0,13.0,85.0,100.0,295.0,930.0,62060.0,47580.0,14480.0
16509,1003,Zwijndrecht,BU06420313,1.0,19.0,,,0.0,75.0,45.0,220.0,1155.0,2820.0,2000.0,820.0
5439,1001,Giessenlanden,BU06890702,1.0,4.0,20.0,18.0,,90.0,90.0,105.0,535.0,310.0,270.0,40.0
11711,1009,Purmerend,WK043905,1.0,167.0,,,29.0,95.0,140.0,360.0,670.0,48710.0,40480.0,8220.0
2365,1000,Best,BU07530017,1.0,,,,1.0,110.0,80.0,160.0,525.0,4960.0,4300.0,650.0
12909,1005,Soest,GM0342,,1167.0,15.0,3875.0,25.0,80.0,80.0,200.0,1020.0,153570.0,114370.0,39220.0
5991,1001,Groningen,WK001402,1.0,415.0,10.0,940.0,,65.0,165.0,120.0,355.0,54620.0,49740.0,4870.0
5682,1003,Gorinchem,GM0512,,703.0,,,20.0,85.0,120.0,240.0,820.0,120560.0,95970.0,24590.0
7488,1001,Heusden,GM0797,,1402.0,,,31.0,95.0,65.0,180.0,900.0,146480.0,113560.0,32920.0
16393,1009,Zutphen,BU03010001,1.0,15.0,,,0.0,90.0,230.0,410.0,960.0,6220.0,4720.0,1510.0
577,1000,AlphenaandenRijn,WK048491,1.0,264.0,14.0,821.0,7.0,40.0,35.0,100.0,985.0,19480.0,14690.0,4810.0
1358,1001,Amsterdam,BU03638803,1.0,14.0,14.0,44.0,1.0,75.0,10.0,145.0,820.0,860.0,680.0,170.0
4741,1007,Eindhoven,BU07721631,1.0,,,,0.0,0.0,0.0,0.0,0.0,120.0,80.0,40.0
9129,1001,Lelystad,BU09954225,1.0,116.0,12.0,284.0,3.0,130.0,180.0,275.0,555.0,4930.0,4250.0,700.0
2261,1003,Berkelland,BU18590103,1.0,12.0,15.0,39.0,0.0,330.0,100.0,290.0,790.0,360.0,280.0,80.0
16661,1007,Zwolle,BU01935150,1.0,167.0,13.0,444.0,5.0,120.0,80.0,190.0,455.0,9940.0,8810.0,1120.0
10862,1009,Oegstgeest,BU05790013,1.0,12.0,9.0,27.0,0.0,60.0,140.0,160.0,1375.0,9310.0,6100.0,3220.0
7585,1003,Hilversum,WK040205,1.0,152.0,14.0,440.0,4.0,80.0,125.0,160.0,980.0,31850.0,24070.0,7780.0
8332,1008,Katwijk,BU05370809,1.0,73.0,10.0,168.0,3.0,75.0,35.0,85.0,325.0,4910.0,4510.0,410.0
7933,1000,Hoorn,BU04053504,1.0,47.0,9.0,89.0,1.0,60.0,40.0,105.0,350.0,2050.0,1880.0,180.0
12756,1003,Sliedrecht,BU06100103,1.0,53.0,10.0,126.0,0.0,85.0,20.0,185.0,585.0,5640.0,4800.0,830.0
16330,1003,Zuidplas,BU18920205,1.0,17.0,14.0,52.0,0.0,75.0,80.0,125.0,1205.0,3800.0,2650.0,1150.0
16112,1006,Zederik,BU07070102,1.0,6.0,,,0.0,25.0,5.0,120.0,875.0,1160.0,900.0,240.0
9787,1002,Medemblik,WK042009,1.0,99.0,14.0,331.0,1.0,70.0,40.0,200.0,1095.0,7680.0,5570.0,2110.0
3374,1002,Coevorden,BU01095063,1.0,10.0,27.0,60.0,1.0,125.0,0.0,180.0,1080.0,620.0,440.0,160.0
12873,1004,Sluis,BU17141400,1.0,23.0,17.0,83.0,0.0,135.0,25.0,220.0,985.0,950.0,710.0,240.0
15545,1009,Weststellingwerf,WK009800,1.0,351.0,24.0,1943.0,12.0,105.0,140.0,200.0,1135.0,43240.0,30960.0,12270.0
629,1002,Amersfoort,BU03070108,1.0,31.0,10.0,75.0,1.0,75.0,35.0,110.0,690.0,1450.0,1200.0,240.0
8761,1005,Leeuwarden,BU00802301,1.0,15.0,12.0,43.0,,100.0,140.0,115.0,830.0,1330.0,1050.0,280.0
18,1001,AaenHunze,BU16800509,1.0,,,,0.0,70.0,0.0,75.0,1210.0,160.0,110.0,80.0
11061,1008,Olst-Wijhe,BU17730218,1.0,137.0,18.0,560.0,4.0,100.0,40.0,160.0,580.0,5560.0,4760.0,810.0
6952,1006,Heerlen,BU09173400,1.0,33.0,12.0,93.0,,110.0,360.0,470.0,790.0,8990.0,7200.0,1790.0
919,1009,Amsterdam,BU03630702,1.0,,,,0.0,100.0,50.0,50.0,300.0,3730.0,3450.0,280.0
14382,1005,Vaals,BU09810008,1.0,9.0,30.0,60.0,0.0,30.0,0.0,240.0,1325.0,480.0,300.0,170.0
5838,1000,'s-Gravenhage,WK051809,1.0,362.0,10.0,817.0,10.0,60.0,90.0,115.0,840.0,46000.0,36210.0,9810.0
4951,1007,Enschede,BU01530502,1.0,146.0,,,2.0,95.0,100.0,180.0,1040.0,11580.0,8550.0,3030.0
4084,1006,Dordrecht,BU05050406,1.0,,,,0.0,125.0,0.0,130.0,1730.0,200.0,120.0,80.0
2525,1005,Binnenmaas,BU05850201,1.0,,,,0.0,30.0,0.0,40.0,1035.0,430.0,320.0,120.0
2973,1003,Bronckhorst,BU18760007,1.0,13.0,16.0,49.0,1.0,65.0,20.0,165.0,780.0,1200.0,960.0,240.0
8789,1008,Leeuwarden,BU00803603,1.0,289.0,13.0,891.0,,145.0,15.0,120.0,870.0,9300.0,7290.0,2020.0
424,1001,Almere,BU00340206,1.0,257.0,12.0,750.0,5.0,105.0,120.0,295.0,530.0,25210.0,21830.0,3390.0
13100,1006,Steenwijkerland,BU17080022,1.0,10.0,15.0,32.0,1.0,50.0,150.0,435.0,580.0,390.0,330.0,40.0
16059,1004,Zaltbommel,BU02970009,1.0,25.0,,,0.0,65.0,0.0,210.0,790.0,440.0,360.0,80.0
14621,1008,Velsen,BU04530405,1.0,10.0,9.0,20.0,,65.0,235.0,325.0,1345.0,5660.0,3750.0,1910.0
