,id_old,gemeentenaam,codering,indelingswijziging_wijken_en_buurten,aantal_installaties_bij_woningen,aantal_zonnepanelen_per_installatie,opgesteld_vermogen_van_zonnepanelen,totaal_aantal_laadpalen,werkloosheidsuitkering_relatief,bijstandsuitkering_relatief,arbeidsongeschiktheidsuitkering_relatief,aow_uitkering_relatief,inwoners_vanaf_15_jaar,inwoners_vanaf_15_jr_tot_aow_leeftijd,inwoners_vanaf_de_aow_leeftijd
4182,1005,Dordrecht,BU05059800,1.0,,,,0.0,0.0,0.0,0.0,0.0,80.0,40.0,0.0
15041,1005,Voerendaal,WK098605,1.0,60.0,15.0,206.0,2.0,75.0,35.0,255.0,1155.0,3040.0,2150.0,890.0
5531,1009,Goes,WK066401,1.0,1594.0,12.0,4450.0,33.0,80.0,120.0,240.0,1060.0,94760.0,69510.0,25240.0
4305,1009,Druten,BU02250401,1.0,90.0,,,2.0,90.0,20.0,155.0,770.0,3700.0,2990.0,700.0
14254,1009,Utrecht,BU03440412,1.0,23.0,13.0,71.0,0.0,90.0,135.0,230.0,265.0,7860.0,7340.0,520.0
10179,1003,Moerdijk,BU17090301,1.0,8.0,22.0,40.0,0.0,75.0,20.0,40.0,835.0,630.0,490.0,120.0
9123,1000,Lelystad,WK099542,1.0,426.0,11.0,997.0,8.0,135.0,290.0,410.0,440.0,19790.0,17600.0,2200.0
6521,1007,Hardenberg,WK016010,1.0,7.0,21.0,35.0,0.0,100.0,130.0,185.0,545.0,680.0,570.0,80.0
3455,1009,Culemborg,BU02160009,1.0,288.0,11.0,673.0,7.0,95.0,55.0,205.0,760.0,9030.0,7300.0,1740.0
13242,1005,StichtseVecht,WK190405,1.0,109.0,17.0,437.0,2.0,60.0,45.0,175.0,880.0,10910.0,8510.0,2390.0
12843,1005,Sluis,BU17140509,1.0,19.0,30.0,126.0,,70.0,0.0,195.0,830.0,1180.0,910.0,240.0
2418,1008,Beverwijk,BU03750001,3.0,7.0,13.0,19.0,0.0,70.0,50.0,230.0,945.0,4090.0,3130.0,970.0
13824,1000,Tilburg,BU08554202,3.0,9.0,14.0,30.0,0.0,110.0,570.0,290.0,575.0,6580.0,5640.0,960.0
11157,1005,OostGelre,BU15860104,1.0,99.0,,,1.0,95.0,155.0,280.0,880.0,7010.0,5460.0,1550.0
10215,1003,Molenwaard,BU19270002,1.0,61.0,10.0,133.0,0.0,70.0,90.0,160.0,1000.0,9180.0,6880.0,2300.0
973,1005,Amsterdam,BU03631404,1.0,13.0,10.0,32.0,,125.0,260.0,140.0,170.0,10170.0,9750.0,430.0
15914,1000,DeWolden,BU16901104,1.0,,,,0.0,30.0,15.0,190.0,360.0,250.0,240.0,40.0
1634,1006,Arnhem,BU02021783,1.0,19.0,,,0.0,125.0,430.0,325.0,520.0,7280.0,6330.0,960.0
16221,1007,Zevenaar,WK029903,1.0,100.0,15.0,350.0,2.0,90.0,60.0,195.0,955.0,12490.0,9480.0,3010.0
3762,1000,Diemen,BU03840002,1.0,26.0,7.0,41.0,,100.0,20.0,180.0,620.0,4000.0,3380.0,620.0
8448,1004,Krimpenerwaard,BU19310008,1.0,20.0,22.0,96.0,0.0,40.0,45.0,70.0,1700.0,2470.0,1430.0,1050.0
7365,1003,'s-Hertogenbosch,WK079603,1.0,194.0,17.0,711.0,,100.0,200.0,300.0,780.0,47620.0,38290.0,9320.0
5795,1003,Grave,BU07860004,1.0,41.0,13.0,131.0,2.0,140.0,100.0,200.0,490.0,4570.0,4020.0,560.0
14505,1000,Veenendaal,BU03450500,1.0,93.0,7.0,162.0,1.0,90.0,95.0,240.0,615.0,11140.0,9430.0,1720.0
9797,1003,Medemblik,BU04201101,1.0,87.0,,,2.0,70.0,20.0,185.0,875.0,5850.0,4570.0,1280.0
